DateTime,Logined Users,Machine Load
2022-10-14 10:35:26,15,8.5
2022-10-14 10:36:44,15,8.0
2022-10-14 10:40:41,15,10.5
2022-10-14 10:40:52,15,10.5
2022-10-14 10:46:11,15,8.0
2022-10-14 10:51:13,17,14.25
2022-10-14 10:56:21,17,28.0
2022-10-14 11:01:26,17,30.75
2022-10-14 11:06:17,17,34.0
2022-10-14 11:11:26,17,34.5
2022-10-14 11:16:21,17,34.5
2022-10-14 11:21:26,17,32.0
2022-10-14 11:26:21,17,33.25
2022-10-14 11:31:17,17,34.0
2022-10-14 11:36:17,17,35.0
2022-10-14 11:41:26,17,34.5
2022-10-14 11:46:21,17,34.0
2022-10-14 11:51:26,17,34.0
2022-10-14 11:56:21,17,36.0
2022-10-14 12:01:26,17,34.5
2022-10-14 12:06:16,17,35.0
2022-10-14 12:11:17,17,33.75
2022-10-14 12:16:21,17,34.5
2022-10-14 12:21:17,17,23.0
2022-10-14 12:26:17,17,13.25
2022-10-14 12:31:26,17,10.5
2022-10-14 12:36:17,17,8.25
2022-10-14 12:41:26,17,7.0
2022-10-14 12:46:21,17,9.5
2022-10-14 12:51:26,17,8.25
2022-10-14 12:56:26,17,7.0
2022-10-14 13:01:26,17,7.25
2022-10-14 13:06:26,17,7.25
2022-10-14 13:11:17,17,9.75
2022-10-14 13:16:26,17,6.75
2022-10-14 13:21:17,17,7.75
2022-10-14 13:26:21,17,8.5
2022-10-14 13:31:26,17,8.0
2022-10-14 13:36:17,17,8.75
2022-10-14 13:41:26,17,8.0
2022-10-14 13:46:21,17,7.75
2022-10-14 13:51:17,17,8.5
2022-10-14 13:56:21,17,8.5
2022-10-14 14:01:26,17,8.25
2022-10-14 14:06:17,17,9.0
2022-10-14 14:11:26,17,7.0
2022-10-14 14:16:21,17,8.0
2022-10-14 14:21:26,17,8.25
2022-10-14 14:26:21,17,8.75
2022-10-14 14:31:17,17,6.5
2022-10-14 14:36:17,17,8.75
2022-10-14 14:41:26,17,10.0
2022-10-14 14:46:21,18,54.75
2022-10-14 14:51:26,18,79.75
2022-10-14 14:56:21,18,36.75
2022-10-14 15:01:26,18,19.0
2022-10-14 15:06:17,18,12.0
2022-10-14 15:11:17,18,7.25
2022-10-14 15:16:21,17,10.5
2022-10-14 15:21:17,17,11.75
2022-10-14 15:26:21,17,8.25
2022-10-14 15:31:26,17,8.5
2022-10-14 15:36:21,17,9.75
2022-10-14 15:41:26,17,11.25
2022-10-14 15:46:21,17,15.0
2022-10-14 15:51:26,17,13.5
2022-10-14 15:56:21,17,10.75
2022-10-14 16:01:17,17,9.0
2022-10-14 16:06:16,17,8.5
2022-10-14 16:11:26,17,11.0
2022-10-14 16:16:21,17,7.5
2022-10-14 16:21:26,17,9.0
2022-10-14 16:26:21,17,11.0
2022-10-14 16:31:26,17,9.0
2022-10-14 16:36:17,17,9.75
2022-10-14 16:41:17,17,9.75
2022-10-14 16:46:21,17,9.5
2022-10-14 16:51:16,17,7.25
2022-10-14 16:56:21,17,7.75
2022-10-14 17:01:25,17,6.5
2022-10-14 17:06:21,17,10.0
2022-10-14 17:11:26,18,15.0
2022-10-14 17:16:22,18,40.0
2022-10-14 17:21:18,18,35.75
2022-10-14 17:26:18,18,41.25
2022-10-14 17:31:27,17,33.5
2022-10-14 17:36:17,17,16.75
2022-10-14 17:41:27,17,16.0
2022-10-14 17:46:21,17,12.25
2022-10-14 17:51:27,17,8.25
2022-10-14 17:56:22,17,8.25
2022-10-14 18:01:27,17,12.5
2022-10-14 18:06:19,17,9.75
2022-10-14 18:11:28,17,7.5
2022-10-14 18:16:22,17,9.0
2022-10-14 18:21:18,17,12.25
2022-10-14 18:26:22,17,8.5
2022-10-14 18:31:27,17,8.75
2022-10-14 18:36:18,17,10.25
2022-10-14 18:41:27,17,10.0
2022-10-14 18:46:19,17,15.0
2022-10-14 18:51:28,17,12.25
2022-10-14 18:56:22,17,9.0
2022-10-14 19:01:28,17,9.5
2022-10-14 19:06:22,17,10.0
2022-10-14 19:11:27,17,6.75
2022-10-14 19:16:22,17,8.25
2022-10-14 19:21:27,17,8.5
2022-10-14 19:26:22,17,11.75
2022-10-14 19:31:27,17,9.0
2022-10-14 19:36:18,17,7.75
2022-10-14 19:41:28,17,9.75
2022-10-14 19:46:19,17,10.5
2022-10-14 19:51:27,17,10.25
2022-10-14 19:56:22,17,7.75
2022-10-14 20:01:10,17,7.75
2022-10-14 20:06:27,17,6.5
2022-10-14 20:11:27,17,7.5
2022-10-14 20:16:27,17,7.5
2022-10-14 20:21:27,17,8.0
2022-10-14 20:26:19,17,5.75
2022-10-14 20:31:28,17,6.75
2022-10-14 20:36:18,17,7.25
2022-10-14 20:41:28,17,7.75
2022-10-14 20:46:21,17,9.25
2022-10-14 20:51:26,17,9.25
2022-10-14 20:56:21,17,8.0
2022-10-14 21:01:27,17,8.25
2022-10-14 21:06:18,17,10.25
2022-10-14 21:11:27,17,6.75
2022-10-14 21:16:21,17,7.0
2022-10-14 21:21:27,17,9.75
2022-10-14 21:26:22,17,7.25
2022-10-14 21:31:26,17,7.25
2022-10-14 21:36:17,17,5.5
2022-10-14 21:41:26,17,4.5
2022-10-14 21:46:17,18,9.5
2022-10-14 21:51:26,19,51.0
2022-10-14 21:56:21,19,74.75
2022-10-14 22:01:26,19,123.5
2022-10-14 22:06:21,19,208.75
2022-10-14 22:11:26,19,246.0
2022-10-14 22:16:20,19,221.75
2022-10-14 22:21:26,19,241.0
2022-10-14 22:26:21,19,207.25
2022-10-14 22:31:26,19,176.5
2022-10-14 22:36:17,19,159.0
2022-10-14 22:41:26,19,183.75
2022-10-14 22:46:21,19,292.75
2022-10-14 22:51:26,19,356.75
2022-10-14 22:56:21,19,336.25
